41	6	24	54	46	18	92	82	95	76	66	25	42	
26	42	22	89	92	77	63	100	13	38	34	20	8	
28	10	2	18	93	58	24	21	92	82	5	73	98	
13	3	58	74	51	19	61	33	35	88	63	81	29	
55	82	26	39	61	53	66	45	8	49	94	31	58	
25	64	93	1	66	73	91	58	44	39	99	42	94	
85	75	50	66	72	44	2	62	24	95	100	5	93	
13	52	32	98	55	23	97	77	29	17	36	34	81	
84	71	67	87	9	92	47	48	16	23	99	53	66	
69	97	89	75	47	51	19	74	44	100	69	56	35	
17	11	15	76	6	77	31	5	37	43	13	38	9	
31	49	89	14	68	7	78	24	82	21	40	25	34	
70	49	88	98	37	88	22	7	10	12	36	47	90	
