68	27	82	66	88	41	31	51	100	19	65	48	7	76	7	
32	79	15	66	95	99	1	69	39	23	18	51	61	63	92	
64	15	83	10	24	67	76	100	52	79	44	19	29	55	49	
1	34	77	35	74	70	51	65	28	71	99	9	51	62	25	
29	83	78	70	24	63	32	74	73	51	96	61	77	90	88	
99	83	74	47	38	47	87	68	54	1	28	72	66	32	34	
62	27	15	20	31	76	95	89	48	9	30	20	89	65	98	
79	16	31	39	49	45	62	9	36	63	5	74	87	65	81	
76	22	52	41	30	29	62	2	71	22	16	37	32	58	73	
74	48	6	38	34	18	12	65	37	56	68	88	95	77	14	
24	98	45	36	50	41	45	8	27	49	29	47	87	48	100	
47	71	45	30	91	16	45	87	19	4	9	31	11	89	38	
57	58	64	9	44	75	63	79	13	65	11	20	11	19	82	
55	64	10	42	22	35	25	18	51	45	64	16	6	94	99	
66	46	35	54	75	22	63	55	30	19	98	31	59	72	68	
