60	16	7	90	1	93	95	10	10	16	90	28	97	79	98	
87	64	37	52	21	83	9	56	42	23	57	9	94	65	78	
46	45	80	13	85	37	69	7	83	72	2	92	20	27	10	
52	23	43	72	13	12	92	30	62	71	20	6	56	23	8	
8	56	86	20	30	60	29	71	34	94	40	21	71	15	75	
22	68	45	79	40	41	45	81	2	76	94	42	76	57	60	
84	69	96	27	52	47	70	2	89	45	80	83	88	4	11	
78	71	73	100	46	14	81	37	83	64	13	13	97	74	70	
39	64	57	68	36	62	47	31	78	38	76	89	67	49	77	
84	3	17	55	68	57	21	29	8	97	27	64	4	81	53	
60	5	35	71	97	92	62	76	68	36	71	14	23	66	80	
24	10	12	90	58	76	70	64	11	77	33	71	73	40	55	
33	34	38	100	9	22	39	33	34	82	84	79	73	32	50	
15	12	56	57	3	71	50	32	77	59	92	36	44	51	89	
87	16	13	28	33	27	32	74	52	58	21	21	55	62	68	
