30	74	24	51	32	63	8	51	39	82	36	15	16	26	27	
76	70	24	45	58	19	14	24	91	34	62	17	30	41	95	
17	18	85	10	96	82	81	16	33	81	31	81	14	97	14	
100	26	53	81	34	35	65	62	62	14	80	73	14	51	6	
29	71	26	67	67	25	53	96	94	59	2	22	97	48	15	
82	60	79	96	63	18	84	68	45	14	92	73	13	62	57	
67	4	99	2	21	76	37	28	54	50	23	15	75	55	10	
24	97	4	23	17	78	52	59	62	95	46	29	50	59	29	
9	98	80	46	84	19	61	23	68	62	89	37	24	69	61	
61	41	100	10	26	54	91	88	9	27	87	11	41	67	10	
8	17	83	15	38	8	16	34	25	57	94	21	32	85	14	
36	81	72	61	92	79	13	34	39	23	92	32	2	27	56	
10	58	7	3	50	50	69	62	13	50	6	12	89	29	95	
78	67	24	88	3	64	8	35	73	20	52	20	41	22	16	
63	43	35	74	96	93	20	56	55	64	21	83	94	23	43	
