1	6	63	87	51	74	29	38	99	57	46	39	28	
66	87	38	94	93	15	55	95	73	72	17	81	32	
49	95	75	86	86	55	50	24	48	76	68	40	60	
56	92	35	39	91	77	7	69	28	88	95	81	82	
21	29	42	68	79	11	22	27	37	20	91	81	85	
98	22	38	45	21	32	38	23	99	88	28	63	63	
11	58	70	56	37	56	81	76	85	84	11	68	18	
16	84	80	84	23	12	10	34	85	35	22	99	89	
13	28	52	5	57	39	97	64	48	61	3	10	13	
72	7	52	67	16	84	51	1	1	100	4	41	14	
28	12	86	60	58	22	57	88	31	37	26	29	81	
42	87	52	59	43	31	40	86	6	44	25	60	91	
92	21	61	9	12	34	20	16	56	80	22	26	74	
