20	45	92	16	76	67	30	76	40	36	94	91	22	
33	56	82	75	43	38	1	32	37	85	32	76	7	
72	45	68	58	100	60	95	30	66	39	96	71	42	
84	68	4	81	94	84	66	48	4	28	59	82	69	
15	46	65	27	34	20	19	20	57	10	71	65	85	
65	63	67	23	39	31	4	97	43	42	82	45	6	
9	49	79	77	87	30	46	91	93	89	51	10	91	
8	18	92	90	100	9	23	81	27	14	68	61	20	
66	82	94	29	36	53	69	29	6	4	32	99	68	
72	69	83	45	88	24	82	73	17	100	36	12	37	
27	56	65	55	3	35	14	54	92	82	33	67	46	
58	34	100	19	70	33	64	79	40	83	86	31	54	
8	26	47	46	64	65	51	59	35	70	40	69	62	
