5	23	64	39	45	68	16	85	90	70	1	59	24	
28	20	10	10	99	60	77	56	25	85	22	7	34	
56	47	20	50	10	19	61	2	17	3	42	23	26	
70	29	100	90	22	71	62	2	37	36	32	32	67	
49	80	46	24	25	61	12	29	89	70	95	70	44	
25	6	91	60	49	54	4	53	62	27	89	23	40	
35	19	10	44	78	6	80	64	57	27	82	3	98	
77	100	71	42	64	39	26	30	70	52	38	7	49	
77	86	85	87	45	24	17	1	20	76	71	70	26	
27	98	74	25	33	19	67	85	71	19	37	82	11	
94	98	42	50	64	66	27	17	24	24	73	56	34	
95	88	8	2	62	81	50	31	44	84	61	76	1	
19	27	40	42	72	6	96	99	39	99	61	77	93	
