34	68	97	96	65	100	99	45	12	96	45	69	61	85	
66	54	99	11	37	34	79	79	77	5	48	25	65	18	
37	46	70	88	67	35	36	76	69	97	79	30	82	20	
79	93	22	6	65	18	86	45	41	73	9	47	53	68	
74	78	15	99	84	80	75	17	47	27	28	2	93	88	
2	86	100	2	73	57	13	63	34	67	58	32	72	48	
64	9	57	15	45	15	18	18	22	33	8	71	36	75	
91	100	51	36	38	52	55	99	8	8	31	21	99	64	
23	27	72	72	64	40	55	60	43	14	52	3	13	16	
77	18	67	20	81	81	74	29	32	25	100	61	38	3	
28	89	3	93	77	31	79	42	47	59	35	89	29	27	
79	48	99	52	50	62	17	45	60	22	62	28	46	3	
14	97	64	82	48	70	92	11	86	89	24	48	8	35	
78	16	54	68	74	39	83	35	9	94	8	79	3	1	
