59	20	96	99	94	81	3	88	47	13	95	17	36	24	
97	36	100	55	85	65	24	62	40	79	71	91	28	66	
96	60	18	32	73	70	77	80	11	35	43	37	74	75	
87	15	8	39	43	77	68	8	68	92	96	2	85	70	
25	64	31	34	89	6	36	36	70	44	6	27	90	75	
7	19	84	21	84	16	52	3	35	87	69	91	83	49	
71	57	60	73	42	6	100	79	90	66	19	35	6	20	
69	90	38	50	47	3	73	38	98	23	41	80	42	38	
24	56	58	61	61	32	82	98	98	60	31	95	99	1	
83	86	26	10	55	25	52	21	51	28	30	31	38	41	
26	53	55	21	23	42	75	20	17	90	28	87	80	54	
97	41	30	15	13	80	7	20	30	79	93	85	90	24	
19	98	1	34	91	17	31	25	41	23	40	58	82	44	
12	69	27	69	1	44	12	54	36	8	65	25	42	31	
