14	15	35	46	81	3	58	9	71	43	99	100	13	73	28	
2	86	97	29	86	17	57	93	34	74	46	47	3	57	51	
31	64	9	52	92	73	36	81	42	43	14	84	60	60	58	
59	93	14	81	46	17	35	62	19	76	44	31	1	84	29	
92	72	90	13	54	57	73	38	15	6	27	52	1	78	8	
42	36	82	47	52	5	27	31	30	51	7	99	18	49	57	
69	30	70	92	87	100	19	1	16	37	10	70	4	61	9	
87	62	26	52	56	64	5	97	73	37	32	10	13	12	98	
64	80	99	78	52	27	39	60	31	9	2	76	44	25	50	
25	94	2	19	54	74	7	73	47	83	17	98	7	5	57	
41	10	69	31	92	66	14	45	59	56	14	8	97	13	19	
30	30	80	36	38	41	95	64	90	54	44	58	68	2	79	
77	19	35	11	17	9	9	81	3	73	5	43	82	46	31	
85	89	12	80	43	80	63	90	32	67	76	70	75	27	43	
43	5	46	6	98	31	13	81	77	72	56	63	57	69	34	
