18	61	34	2	62	74	63	3	32	4	45	3	10	
75	90	16	100	82	24	57	58	46	47	7	60	54	
93	71	64	39	82	48	33	30	39	12	90	11	39	
34	13	49	7	13	38	80	90	3	80	80	49	5	
39	57	82	2	53	55	79	94	12	59	48	9	61	
94	36	14	89	85	70	37	84	29	15	26	27	48	
8	33	79	86	50	60	26	89	27	5	9	45	89	
15	46	9	1	58	94	82	76	49	69	5	15	86	
40	92	78	3	81	99	18	100	46	76	72	23	55	
57	68	14	54	71	66	66	15	33	59	82	24	98	
51	61	24	6	33	28	81	22	65	92	27	37	88	
35	60	71	33	33	1	8	19	85	12	82	3	48	
26	76	100	78	15	57	48	91	45	23	59	53	4	
