23	92	93	98	69	10	95	23	56	18	35	37	80	
44	43	73	73	19	94	88	96	47	49	56	99	22	
51	23	44	63	87	59	5	70	8	43	68	57	93	
69	21	24	77	57	34	46	9	20	53	81	13	4	
58	69	40	4	81	100	55	88	92	17	10	66	82	
90	99	69	83	34	70	1	13	14	55	76	92	14	
21	65	62	8	50	4	43	67	63	82	95	19	37	
82	48	8	99	70	98	78	28	12	73	22	35	67	
27	40	53	89	64	22	37	19	14	46	19	95	67	
47	77	71	97	97	48	18	92	72	69	100	90	30	
19	59	69	71	6	43	3	53	100	97	85	79	96	
21	98	68	3	13	4	26	86	89	64	83	6	43	
4	49	16	86	97	58	94	87	61	100	6	83	99	
