40	6	18	91	21	15	13	3	94	20	18	46	80	
3	96	48	23	79	52	56	51	30	39	83	68	53	
88	26	82	42	61	34	29	98	33	7	72	92	94	
93	67	38	83	2	62	79	60	39	42	75	86	50	
43	97	86	85	98	9	62	50	97	94	55	76	60	
72	36	98	92	72	13	74	7	37	18	41	94	100	
26	52	80	26	94	98	43	60	97	18	13	87	92	
66	14	56	13	91	19	92	53	75	10	73	52	18	
81	5	98	60	49	90	32	74	76	75	72	98	67	
46	90	98	26	50	60	51	18	23	40	81	24	87	
52	45	32	86	33	16	18	97	1	51	48	53	62	
86	5	18	39	60	53	71	60	41	93	58	77	59	
49	11	41	84	99	95	47	79	2	59	39	17	26	
