65	51	58	16	15	3	22	95	2	74	4	49	83	51	80	
95	87	25	76	82	66	29	88	82	21	66	51	91	37	93	
23	36	22	11	63	52	17	36	72	37	22	32	90	54	48	
92	93	39	76	84	5	97	33	3	33	99	94	22	56	1	
70	54	64	96	97	37	36	94	84	45	83	18	47	62	47	
18	61	16	35	88	78	26	51	50	15	100	89	98	18	82	
30	24	78	35	8	20	100	34	51	9	44	54	10	55	14	
93	19	38	95	29	48	7	74	12	2	9	14	65	79	45	
52	1	31	24	62	29	71	9	70	85	40	87	60	82	20	
59	49	69	24	9	30	24	44	63	38	22	2	2	44	82	
93	73	57	42	93	49	98	59	69	1	44	69	65	23	61	
6	3	23	44	17	68	100	64	60	13	81	35	13	51	24	
71	43	40	86	56	13	10	52	18	52	44	98	64	22	88	
2	54	6	64	94	66	81	69	58	82	15	17	48	66	33	
69	64	6	97	58	43	68	77	9	70	62	87	57	62	76	
