72	8	89	22	71	52	24	23	16	70	68	47	53	40	
98	70	83	5	48	39	82	50	3	77	70	16	81	80	
69	90	54	53	74	42	79	9	29	80	37	24	2	67	
2	100	49	78	87	47	41	84	15	32	94	94	36	18	
27	74	73	39	28	5	35	99	10	63	59	86	51	76	
90	94	8	87	79	46	54	26	56	53	66	95	5	23	
41	90	86	40	79	39	11	49	74	94	100	98	56	46	
38	46	16	72	99	38	6	75	51	2	73	90	78	20	
33	92	63	29	74	60	3	22	65	65	19	49	33	40	
43	29	13	8	96	16	9	74	51	85	92	7	17	76	
30	36	93	65	64	78	6	18	14	17	87	36	72	56	
94	38	5	42	9	49	4	3	25	18	79	24	58	95	
71	93	74	39	33	33	69	79	57	29	86	2	17	83	
69	40	97	15	62	22	52	96	19	69	27	27	34	86	
