22	19	48	45	23	53	8	62	3	39	69	23	55	87	
22	76	30	69	19	72	49	84	22	84	75	62	5	8	
91	41	30	48	80	53	3	60	74	13	66	17	23	4	
48	14	53	50	98	21	58	58	86	47	6	88	18	51	
41	40	86	10	49	33	73	64	39	10	54	66	19	67	
65	77	97	84	92	81	58	47	69	39	92	23	63	9	
95	42	34	33	39	70	80	4	30	97	23	55	82	30	
10	92	21	78	21	86	58	40	84	45	32	80	49	78	
21	68	7	23	93	94	94	66	72	42	6	81	43	59	
62	13	62	41	23	3	93	60	10	7	85	73	3	99	
30	77	19	43	17	30	18	92	55	94	62	23	70	8	
62	99	87	6	9	62	4	28	69	21	37	4	77	43	
1	68	27	84	74	81	34	30	13	50	1	78	35	39	
34	3	82	52	22	68	56	53	30	75	41	84	92	37	
