63	66	24	24	13	96	71	97	76	44	49	96	65	23	
16	50	50	4	78	84	73	90	22	22	15	67	65	42	
94	90	62	69	63	48	22	45	3	30	55	52	84	48	
21	13	59	15	70	22	37	59	23	1	69	2	6	55	
44	81	65	82	51	4	94	20	55	31	50	5	18	52	
10	78	9	9	90	18	72	88	67	53	83	32	61	52	
1	77	1	12	48	90	19	37	15	30	93	94	63	52	
79	88	53	1	7	62	31	22	70	3	94	26	55	14	
29	9	53	53	33	21	92	80	45	55	43	96	50	60	
22	29	67	86	4	61	94	68	16	19	12	32	5	40	
29	90	77	6	94	74	9	67	39	71	29	23	86	55	
11	82	59	87	51	26	81	95	24	93	48	29	28	82	
24	46	60	87	87	71	64	87	74	32	13	8	2	23	
63	2	54	4	78	43	32	11	77	90	74	43	64	80	
