45	57	25	79	83	12	91	39	15	30	24	78	97	69	84	
64	10	16	94	39	93	42	25	84	51	9	6	35	87	87	
74	77	86	93	13	92	57	45	37	57	48	9	92	16	81	
92	66	61	61	82	79	39	9	80	56	10	35	81	22	60	
41	84	8	80	92	49	59	61	48	29	76	42	65	2	60	
87	87	85	69	71	8	60	92	100	5	55	43	44	12	6	
36	26	34	38	32	8	49	21	65	23	27	83	43	2	13	
55	72	71	87	52	87	4	73	100	36	70	71	10	88	25	
12	55	19	13	82	61	27	95	95	76	76	72	64	33	91	
43	40	55	54	67	50	49	93	50	57	96	79	19	80	47	
9	80	86	90	17	20	71	32	77	44	88	100	36	19	17	
82	33	77	54	69	68	65	77	22	34	26	52	2	91	75	
41	76	7	63	36	81	4	18	63	3	90	85	42	70	77	
37	88	12	20	93	35	58	93	87	24	18	61	67	50	71	
71	53	10	26	68	53	64	2	87	37	94	23	79	10	62	
