34	22	28	98	66	45	45	45	74	71	99	60	37	41	51	
62	58	93	85	36	48	90	60	57	73	57	52	90	41	4	
83	34	48	20	88	95	60	27	47	57	83	91	74	16	56	
86	29	70	2	11	15	47	47	93	5	23	41	63	56	86	
76	87	60	22	75	39	49	60	80	2	36	93	36	17	70	
57	96	34	34	81	7	46	56	93	6	88	19	32	30	71	
22	66	92	23	31	74	2	14	6	88	24	69	79	52	14	
32	5	68	57	8	80	4	53	13	98	84	64	20	16	1	
81	43	86	59	79	29	84	86	93	27	9	15	10	79	30	
9	35	94	60	8	98	100	94	34	56	90	69	43	42	3	
27	89	6	15	21	98	2	19	65	15	8	68	44	61	13	
10	84	96	46	99	30	24	40	74	31	98	41	100	39	6	
60	67	88	11	64	2	65	8	59	52	9	2	72	43	82	
54	74	46	59	44	11	86	24	20	3	16	50	84	9	20	
73	84	73	99	50	4	55	36	24	34	21	28	85	46	4	
