69	97	6	53	24	34	75	45	15	66	42	18	20	97	51	
58	27	8	95	28	74	48	43	50	8	2	68	20	75	40	
56	51	100	99	10	84	59	44	9	100	65	56	11	32	72	
96	30	38	60	47	28	95	45	21	47	92	45	21	65	38	
78	38	78	3	57	58	85	61	51	27	19	4	73	71	79	
10	22	49	29	11	89	29	98	3	67	97	66	24	53	42	
85	39	31	92	88	91	71	58	58	77	4	58	98	20	26	
60	38	56	98	83	13	71	66	87	91	68	88	25	78	93	
87	15	42	26	65	71	2	9	41	31	98	80	49	90	2	
82	66	95	49	9	96	22	69	29	63	10	44	23	94	79	
25	23	100	30	8	64	76	55	97	16	16	70	80	54	59	
82	83	79	89	85	56	13	19	48	62	12	11	45	100	83	
100	18	92	11	13	98	48	50	44	44	99	38	47	61	83	
26	38	42	88	54	53	9	19	12	5	73	6	17	54	82	
53	88	80	92	56	87	25	76	59	84	15	5	25	4	39	
